Quality,#1 ID,#2 ID,#1 String,#2 String
1,1254066,1254350,General Jeffrey said he would donate his military pension to charity for the period he was in office at Yarralumla .,Maj-Gen Jeffery said he would give his military pension to charity while he served at Yarralumla .
1,2167155,2167070,"Sir Wilfred Thesiger , traveller , writer , and one of the last solitary explorers of a shrinking planet , has died aged 93 .","Sir Wilfred Thesiger , writer , explorer and chronicler of the world 's vanishing ways of life , has died at age 93 ."
1,2820354,2820518,"He was eventually taken to London 's Hammersmith hospital , where doctors regulated Blair 's heart beat via electric shock .","He was taken to Hammersmith hospital , where doctors regulated Blair 's heart beat via electric shock in a procedure called "" cardio-version "" ."
1,153199,153213,The letter stated that a premature stillborn baby was placed on the bed in a blanket .,"According to the writer of the letter , the infant was "" placed on the bed in a baby blanket "" by a nurse ."
1,202295,202144,"Significantly , it made no mention of the role of terrorist organisation Jemah Islamiyah , accused of being behind the attacks .","The address made no mention of the role of terrorist organisation Jemaah Islamiyah , which was behind the attacks ."
0,3327147,3327230,Lord of the Rings director Peter Jackson and companion Fran Walsh arrive at the 74th Annual Academy Awards .,Lord of the Rings director Peter Jackson and longtime companion Fran Walsh .
0,1822540,1822921,"But Adora Obi Nweze , the NAACP state president , said the state only tried to prove its conclusion of suicide , rather than consider the possibility of murder .","Adora Obi Nweze , the NAACP state president , said the state has refused to consider the possibility of murder ."
1,563634,563375,"Furthermore , chest tightness after exercise and prevalence of asthma were both linked to the amount of time spent at the pool .",Chest tightness after exercise and overall prevalence of asthma were also linked to the total amount of time spent at indoor pools .
0,2607718,2607708,"But late Thursday night , the campaign issued a statement saying there would be no news conference and no big announcement .","But late yesterday , the campaign and the state Democratic Party said there would be no news conference ."
1,2534473,2534504,She estimated it would take three months and would require cancellation of a sub-audit of the Department of Environmental Quality .,She said it would take an estimated three months to conduct and require the cancellation of a sub-audit of the Department of Environmental Quality .
1,2055323,2055336,The department also sent water and soil samples to the state health laboratory .,Water samples are being sent to the state health department for analysis .
1,3127660,3127435,"Come tonight , 21-year-old Morgan and as many as 1,200 fellow students at Wheaton College will gather in the gym for the first real dance in the school 's 143-year history .","As many as 1,200 students at Wheaton College will gather in the gym Friday night for the first real dance in the Christian school 's 143-year history ."
0,1783137,1782659,No dates have been set for the civil or the criminal trial .,"No dates have been set for the criminal or civil cases , but Shanley has pleaded not guilty ."
0,758457,758501,"Doctors would face fines and up to two years in prison for performing the procedure , except as a lifesaving step .","Physicians who perform the procedure would face up to two years in prison , under the bill ."
1,2965621,2965471,Hannum was five and a half months pregnant when her mother died .,"In her testimony , Kate Hannum said she was 5 1 / 2 months pregnant when her mother was killed ."
1,397102,397138,"At last week 's meeting with U.S. President George W. Bush , Roh said inter-Korean exchanges would be "" conducted in light of developments on the North Korean nuclear issue . ""","The two leaders said inter-Korean exchanges would be "" conducted in light of developments on the North Korean nuclear issue "" ."
1,2644062,2644100,"The federal government is approving new pesticides without basic information such as whether they harm children , says Canada 's environment commissioner .","The federal government is approving new pesticides without even knowing whether they pose a threat to children , Canada 's environment watchdog warned yesterday ."
1,2854798,2854832,""" We 've put a lot of effort and energy into improving our patching progress , probably later than we should have .",""" We have put a lot of energy into patching , later than we should have , "" he said ."
1,184751,184597,"There is , however , no photo of Peter Hollingworth in the June issue examined by the Herald yesterday .","There is , however , no photograph of Dr Hollingworth in the June issue of the magazine examined by The Age yesterday ."
1,1587317,1587467,"Selling it symbolically writes a finish to that chapter in the administration of our city schools . """,""" Selling it symbolically writes ' Finish ' to that chapter in the administration of our city 's schools , "" he said ."
1,1112021,1111925,"Other staff members , however , defended the document , saying it would still help policy-makers and the agency improve efforts to address the climate issue .","Some E.P.A. staff members defended the document , saying that although pared down it would still help policy makers and the agency address the climate issue ."
0,903431,903485,"He had performed outside Cuba on several occasions , including shows in the US last year and in Brazil , South Africa and several European countries .","He had performed outside of Cuba on several occasions , including shows in the United States last year ."
1,2222013,2222000,"In other words , Cablevision is obligated to pay for YES Network 's lawsuit against Time Warner Cable .","Ironically , Cablevision will be footing the bill for YES ' lawsuit against Time Warner Cable ."
1,1263434,1263562,Only two bidders of the six have expressed interest in the whole pie - oil tycoon Marvin Davis and Seagram heir Edgar Bronfman Jr .,Only two of the bidders have so far expressed interest in buying all the assets -- Davis and Bronfman .
1,2568019,2567975,"Roberson was bitten on the back and scratched on the leg , according to her mother , Shamika Woumnm of Dorchester .","She was bitten on the back and scratched on the leg , her mother said ."
1,67647,67568,""" The releases are the latest in a series of efforts by the government to move Myanmar to multi-party democracy and national conciliation . """,""" The releases are the latest in a series of efforts by the government to move Myanmar closer to multiparty democracy and national reconciliation , "" a government statement said ."
1,790082,790100,"Disney has repeatedly said the "" safety and enjoyment "" of its guests were the reasons the company wanted the no-fly zones , and wants them maintained .","Disney spokeswoman Rena Callahan said the "" safety and enjoyment "" of its guests were the only reasons the company wanted the no-fly zones , and wants them kept in place ."
1,2581167,2581252,"The 5,000 members have already pledged to relocate to the selected state , Free State Project organizers say .","The project already has more than 5,000 members committed to relocating to the "" free state . """
1,2074182,2074668,"Gibson said last month in a press statement that "" neither I nor my film are anti-Semitic .",Gibson said in a June statement that he and his film are not anti-Semitic .
1,1037500,1037399,""" It was one of the first times in my life that I felt we were truly being treated as Americans , ' ' she said .",""" It was one of the few times in my life when I felt that we were truly being treated as Americans . """
1,1939247,1939420,""" What this allows us to do is have a crossover that is much more fuel efficient and aimed at young families . """,""" What this allows us to do is have a crossover that is much more fuel- efficient , aimed at young families , "" Mr. Cowger said ."
1,1499622,1499552,"So far , however , only four companies have licensed the protocols , according to the report to the judge yesterday .","So far , only four companies have licensed Microsoft 's communications protocols : EMC , Network Appliance , VeriSign and Starbak Communications , the report noted ."
1,3106657,3106635,Downer originally said the 14 Kurds had not asked to be considered as refugees when they arrived in a boat off Melville Island last week .,Foreign Minister Alexander Downer yesterday claimed the group of 14 Kurds had not asked to be considered as refugees when they arrived off Melville Island last week .
1,2287318,2287402,"The pilot decided to fly to Kennedy , which has longer runways than Newark Airport .",""" Realizing this , the pilot changed course and diverted to Kennedy , which has longer runways . """
1,2933343,2933396,"The attack on the al-Rashid Hotel , during the visit of Deputy Defence Secretary Paul Wolfowitz underscores the nature of the problem .","The attack on the Rashid Hotel on Sunday , during the visit of the deputy secretary of defense , Paul D. Wolfowitz , underscores the nature of the problem ."
1,536277,536208,The two blond opponents appeared almost identical in matching powder-blue outfits – to their dismay .,"The two blond opponents appeared almost identical because they wore matching powder-blue outfits - to their dismay . """
0,1052580,1052778,"Last year , he was forced to repay $ 3,000 in bar tabs that he and his staff incurred while he was labour minister but had originally billed to taxpayers .","Last year , Stockwell was forced to repay $ 3,000 in bar tabs that he and his staff rang up while he was labour minister ."
1,2995266,2994938,""" I don 't want to be the candidate for guys with Confederate flags in their pickup trucks , "" said Missouri Congressman Dick Gephardt .",""" I still want to be the candidate for guys with Confederate flags in their pickup trucks , "" he told the Register ."
1,3151109,3151135,Tomorrow 's testimony is to give an inside look at tax shelter development and marketing .,Tuesday ’ s testimony is to give an inside look at tax-shelter development and marketing .
1,1219395,1219620,The industry censor forbade the sexual innuendo contained in the play and would not allow the characters to sleep together .,The industry censor forbade the sexual innuendo of the play and would not allow Ewell 's character to sleep with Monroe 's .
1,3403347,3403527,""" I just got carried away and started making stuff , "" Byrne said .","Byrne says he got carried away with PowerPoint and just "" started making stuff . """
1,232430,232714,"The fighting around Bunia began after neighboring Uganda completed the withdrawal of its more than 6,000 soldiers from the town .","The fighting begun May 7 after neighboring Uganda completed the withdrawal of its more than 6,000 soldiers from in an around Bunia ."
1,818479,818367,"But the subject of oil market debate , Iraq , will not be present , an issue which has rankled Iraqi officials .","Meanwhile , the main subject of oil market debate , Iraq , will not send a delegation , an issue that has rankled Iraqi officials ."
0,1264509,1264471,"Available July 7 , the software supports the Solaris , IBM AIX , Red Hat Linux and Windows operating systems .","The OpForce product currently works with Solaris , AIX , Red Hat Linux and Windows servers ."
1,2391429,2391569,"Overall , 83 percent of women washed up , compared with 74 percent of men .","But in San Francisco , 80 percent of men and only 59 percent of women washed their hands ."
1,1087515,1087318,"The $ 19.50-a-share bid , comes two days after PeopleSoft revised its bid for smaller rival J.D. Edwards & Co . JDEC.O to include cash as well as stock .",Oracle 's $ 19.50-a-share bid comes two days after PeopleSoft added cash to its original all-share deal with smaller rival J.D. Edwards & Co . JDEC.O .
1,2886301,2886361,NASA satellite images show that Arctic ice has been shrinking at the rate of nearly 10 percent a decade .,Researchers found that sea ice in the Arctic is disappearing at a rate of 9 percent each decade .
1,224868,225233,Shares of Hartford rose $ 2.88 to $ 46.50 in New York Stock Exchange composite trading .,"Shares of Hartford were up $ 2.28 , or 5.2 percent , to $ 45.90 in midday trading ."
1,57272,57252,"In case the company does not turn in the reports before the end of May , it is likely to be delisted , an SFC official said .","If the company did not turn in the results before the end of May , it was likely to be delisted , an SFC official said ."
1,2521336,2521360,""" We had nothing to do with @ Stake 's internal personnel decision , "" Microsoft spokesman Sean Sundwell said .",""" Microsoft had absolutely nothing to do with AtStake 's internal personnel decision , "" Sundwall said ."
1,3120087,3120252,Civil liberties groups protested and a US district judge ruled that the monument was an unconstitutional promotion of religion .,"Civil liberties groups filed suit , and U.S. District Judge Myron Thompson ordered the monument moved last October , calling it an unconstitutional promotion of religion by government ."
1,2057020,2056955,And although he has acted in period dramas before in screen versions of Jane Austens Persuasion and Charlotte Brontes Jane Eyre Henchard is a breed apart .,"And although he has acted in period dramas before - in screen versions of Jane Austen 's "" Persuasion "" and Charlotte Bronte 's "" Jane Eyre "" - Henchard is a breed apart ."
1,987465,987205,"However , George Heath , a Fort Campbell spokesman , said shortly after the attack that Akbar had "" an attitude problem "" .","However , a Fort Campbell spokesman , said that Akbar had "" an attitude problem . """
1,958161,957782,"Committee approval , expected today , would set the stage for debate on the Senate floor beginning Monday .",That would clear the way for debate in the full Senate beginning on Monday .
1,236192,236483,It takes 100 of the 150 House members to conduct business .,The Texas house requires 100 of its 150 members to present in order to conduct business .
1,171788,171546,"He worked out how to get through the bone with his cheap "" multitool "" -type knife , made duller from futile attempts to scratch away at the rock .","He worked out how to get through the bone with his ``multi-tool ' ' -type knife , made duller by futile attempts to chip away at the rock ."
0,1399401,1399370,"Other , more traditional tests are also available .",Traditional tests also are available at no cost today .
0,2982472,2982545,Her body was found several weeks later in the Green River .,"Aug. 15 , 1982 : Remains of Chapman , Hinds and Mills are found in the Green River ."
0,3016169,3016111,Novell is acquiring SuSe Linux in a $ 210 million cash deal subject to regulatory approval .,Linux company SuSE was today acquired by Novell in a $ 210 million all-cash deal .
1,609842,609788,"The transition is slated to begin no later than June 7 , Dayton said .",A two-week transition period will begin no later than June 7 .
1,222566,222560,"An evaluation suggested there was no overall net clinical benefit in patients receiving the drug in the study , the companies said in a statement distributed by Business Wire .","An evaluation of 240 arthritis patients suggested there was no overall net clinical benefit from taking the medicine , the companies said in a statement distributed by Business Wire ."
1,1091916,1092088,"The company has agreed terms on the purchase of the paper division of the Dutch office supplies group Buhrmann , the largest paper distributor in Europe .","The company has reached agreement on the terms for buying the paper division of the Dutch office supplies group Buhrmann , the largest paper distributor in Europe ."
1,2052102,2052009,"Ghulam Mahaiuddin , head of administration in the southern province of Helmand , said the bus blast happened early in the morning , west of the provincial capital Lashkargah .","The bus blast in Helmand happened early in the morning in Nadi Ali district , west of the provincial capital Lashkargah ."
1,1723132,1723089,The broad Standard & Poor 's 500 index slipped 12.27 points or 1.23 percent to 981.73 .,"The S. & P. 500 slipped 12.27 points , or 1.2 percent , to 981.73 ."
1,2635067,2635269,"Scruggs , who did not testify , was cleared of a second charge of failing to provide her son with proper medical and psychological care .",The six-member jury cleared Scruggs of a second charge that accused her of failing to provide her son with proper medical and psychological care .
0,1045971,1046014,"As previously announced , the final will be at the new Home Depot Center in Carson on Oct. 12 .","Williams recently toured the new soccer-specific Home Depot Center in Carson , Calif ."
1,635783,635802,"But Ms Ward said the headroom under its financial covenants was "" tight "" and that there could be another downgrade if Southcorp breached any of its banking covenants .","But Ms Ward said the headroom under its financial covenants was "" tight "" and that there could be a rating downgrade if Southcorp did breach any banking covenants ."
0,260052,259880,"The president began his speech by acknowledging the terrorist attacks in Saudi Arabia that killed at least 29 people , including seven Americans .","Bush , however , also lashed out at the terrorist bombings in Saudi Arabia that killed at least 29 people -- including a number of Americans ."
1,742090,742015,Tonight a spokesman for Russia 's foreign ministry said the ministry may issue a statement on Thursday clarifying Russia 's position on cooperation with Iran 's nuclear-energy efforts .,Tonight a spokesman for the Russian Foreign Ministry said it might issue a statement on Thursday clarifying Russia 's position on aiding Iran 's nuclear-energy efforts .
