Quality	#1 ID	#2 ID	#1 String	#2 String
1	702876_A3	702977_A3	Amrozi accused his brother, whom he called "the witness", deliberately distorted his evidence.	Amrozi described him as "only" the witness "and accused his brother of deliberately distorting his evidence.
0	2108705_A3	2108831_A3	Yucaipa owned Dominick before selling the chain of Safeway for 2.5 billion US dollars in 1998.	Yucaipa bought Dominick in 1995 for $ 693 million and sold it in 1998 for 1.8 billion dollars to Safeway.
1	1330381_A3	1330521_A3	They had published an advertisement on the Internet on June 10 and offered the freight for sale, he added.	On June 10, the owners of the ship published an advertisement on the Internet and offered the explosives for sale.
0	3344667_A3	3344648_A3	By 0335 GMT, the tab components rose by 19 cents or 4.4 % to $ 4.56 after they had previously set a record high of $ 4.57.	The tab shares rose by 20 cents or 4.6 %to set a record high with $ 4.57.
1	1236820_A3	1236712_A3	The share rose by $ 2.11 or about 11 percent and closed $ 21.51 on Friday on the New York stock exchange.	The shares of the PG&E Corp.on Friday on the New York stock exchange rose by $ 1.63 or 8 percent to $ 21.03.
1	738533_A3	737951_A3	Sales in the first quarter of the year fell by 15 percent compared to the same period last year.	After the scandal hangs over Stewart's company, sales fell by 15 percent in the first quarter of the year compared to the same period last year.
0	264589_A3	264502_A3	The NASDAQ achieved a weekly win of 17.27 or 1.2 percent and closed on Friday at 1,520.15.	The technically recorded Nasdaq Composite .ixic collected 30.46 points or 2.04 percent to 1,520.15.
1	579975_A3	579810_A3	The DVD-CCA then appealed to the state's Supreme Court.	The DVD CCA made an appeal against this decision at the US Supreme Court.
0	3114205_A3	3114194_A3	This compared to USD 35.18 million or 24 cents per share in the previous year.	The profits were affected by a non-repeated tax advantage of $ 8 million in the previous year.
1	1355540_A3	1355592_A3	He said that the Food Service Pie business does not match the company's long-term growth strategy.	"The food service pie business does not match our long-term growth strategy.
0	222621_A3	222514_A3	The shares of Genentech, a much larger company with several products on the market, rose by more than 2 percent.	The Xoma shares fell by 16 percent in early trade, while the shares of Genentech, a much larger company with several products on the market, rose by 2 percent.
0	3131772_A3	3131625_A3	Legislation makes it more difficult for consumers to delete their debts at the insolvency court in March an overwhelming approval of the house.	Legislation made it more difficult for consumers to delete their debts from insolvency courts, the approval in March and was approved by the White House.
0	58747_A3	58516_A3	The Nasdaq Composite Index rose by 10.73 or 0.7 percent to 1,514.77.	The Nasdaq Composite Index with technological stocks has recently increased by 18 points.
1	1464126_A3	1464107_A3	But he added that group performance would improve in the second half of the year and beyond.	In the declaration of results, de Sole said that group performance would improve in the second half of the year and beyond.
1	771416_A3	771467_A3	He told the newspaper Sun that the daughters of Mr. Hussein had British schools and hospitals in mind when they decided to ask asylum.	"Saddam's daughters had British schools and hospitals in mind when they decided to ask asylum - especially about schools," he told the sun.
0	142746_A3	142671_A3	Gyorgy Heizler, head of the local disaster unit, said the coach had 38 passengers.	The head of the local disaster unit, Gyorgy Heizler, said that the coach driver had not managed to consider Red Stop Lights.
0	1286053_A3	1286069_A3	Rudder was most recently Senior Vice President of the developer and platform evangelization business.	Senior Vice President Eric Rudder, formerly head of the developer and platform evangelization Unit, will lead the new company.
0	1563874_A3	1563853_A3	In addition to the dolphin scheme, the chaos has made it possible for foreign companies to damage the logging and catching mode without being properly monitoring or export controls.	Inside chaos has made it possible for foreign companies to set up harmful commercial protocol and fishing operation without exporting proper surveillance or export controls.
0	2029631_A3	2029565_A3	Magnarelli said Rassicot hated the Iraqi regime and was looking forward to using his long years of training in the war.	His wife said he was "100 percent behind George Bush" and was looking forward to using his years of training in the war.
1	2150265_A3	2150184_A3	Sheena Young von Child, the National Infexility Support Network, hoped that the guidelines would lead to a "fairer and fairer" service for infertility services.	Sheena Young, a spokesman for Child, the national infertility support network, said that the proposed guidelines should lead to a "fairer and fair" service for infertility services.
0	2044342_A3	2044457_A3	"I think they will have a lot of employment growth in the next two years," he said, adding that growth could replace the lost jobs.	"I think you will see a lot of employment growth in the next two years," said Mankiw.
1	1284150_A3	1284173_A3	The new finder sets the folders, hard drives, network servers, IDISK and ACCOUNTMENIE in one place and offers access to a click.	The newly designed Finder navigation tool from Panther brings the preferred folders, the hard drive, the network server, the Idisk and the removable media of a user in one place.
1	3270389_A3	3270327_A3	But today tropical storm warnings and watches for Haiti, western parts of the Dominican Republic, the southeastern Bahamas and the Turk and Caicos Islands were published.	Tropical storm warnings were available for Jamaica and Haiti on Thursday and saw after the western Dominican Republic, the southeastern Bahamas and the Turks and Caicos Islands.
1	2294059_A3	2294112_A3	A federal judge in Fort Lauderdale ordered him without deposit.	Zuccarini was held on Wednesday without a deposit by a federal judge in Fort Lauderdale, Fla.
0	1713015_A3	1712982_A3	A BMI of 25 or more is considered overweight.30 or higher is considered to be obese.	A BMI between 18.5 and 24.9 is considered normal, over 25 is considered overweight and 30 or more than obese.
0	487993_A3	487952_A3	The dollar was also flat at $ 116.92 yen against the yen, flat at the meeting and at 1.2891 against the Swiss franc.	The dollar was 116.78 yen jpy =, practically flat at the session and at 1.2871 against the Swiss Franc CHF = by 0.1 percent.
1	1321918_A3	1321644_A3	Six months ago, the IMF and Argentina completed a bare minimum debt-Rollover deal of $ 6.8 billion, which expired in August.	Six months ago, the two sides succeeded in correcting a debt contract of $ 6.8 billion, which expired in August.
1	1239046_A3	1239031_A3	Inhibited children tend to be shy with new people, objects and situations, while uninhibited children spontaneously approach them.	Shy invaders are usually simply shy with new people and situations.
1	2907515_A3	2907224_A3	I wanted to bring the most beautiful people into the most beautiful building, he said on Sunday in the Grand Central Concourse.	"I wanted to bring the most beautiful people into the most beautiful building," said Tunick on Sunday.
0	2791650_A3	2791604_A3	The width Standard & Poor's 500 <.SPX> fell by 10.75 points or 1.02 percent to 1,039.32.	The S&P 500 index rose by 1.26 or 0.1 percent yesterday to 1,039.32 after I reduced 10.75.
0	2559762_A3	2559517_A3	Duque will return to earth	The American astronaut Ed Lu and Russian cosmonaut Yuri Malchenko currently lives.
1	105493_A3	105432_A3	Singapore is already the twelve largest trading partner of the United States with a two-way trade of more than $ 34 billion.	Although Singapore is a small city state, last year he is the twelve largest trading partner of the United States with a trade volume of $ 33.4 billion.
1	1989515_A3	1989458_A3	Until October, the AFL-CIO is waiting to decide whether it supports a candidate.	The AFL-CIO announced on Wednesday that he will decide in October whether he should support a candidate before the primaries.
0	1783137_A3	1782659_A3	No data was set for civil or criminal proceedings.	No data was set for criminal or civil cases, but Shanley has not guilty.
1	14663_A3	14617_A3	The biggest profits were to be achieved in prices, new orders, stocks and exports.	Unter-indexes that measure prices, new orders, stocks and exports.
1	1692902_A3	1692851_A3	Loral trading was discontinued yesterday; the shares closed on Monday at $ 3.01.	The New York Stock Exchange released the trade yesterday in Loral, which closed on Friday at USD 3.01.
0	1480561_A3	1480670_A3	The result per share of recurring operations is 13 cents to 14 cents.	The forecast for the April result of 8 to 9 cents per share in April exceeded.
1	3089434_A3	3089441_A3	He plans to eat with troops in the US military headquarters from Kosovo, Camp Bondsteel.	Then he plans to eat dinner in the Camp Bondsteel with US troops.
1	2538111_A3	2538021_A3	Retail J.C.Penney Co.inc. (JCP) and Walgreen Co. (Wag) Start of things on Monday.	Retail J.C.Penney Co.inc.jcp.n and Walgreen Co.wag.n will start things on Monday.
1	1341941_A3	1341915_A3	The public prosecutor filed an application in which Lee was informed that they wanted to obtain the death penalty.	He added that prosecutors would catch up with the death penalty.
1	374967_A3	375017_A3	Last year the court confirmed the school voucher program from Cleveland and decided 5-4 that vouchers are constitutional if they offer parents an election for religious and secular schools.	In a case of Ohio, the court decided 5: 4 last year that government vouchers are constitutional if they offer parents the choice between a number of religious and secular schools.
0	2321401_A3	2321455_A3	It struck testicular cancer that had spread on the lungs and brain.	The 31 -year -old Armstrong fought testicular cancer, which spread to his brain.
1	1356545_A3	1356676_A3	Sorkin, who is charged with conspiracy for the disability of justice and lies of a large jury, should have been brought to court separately.	Sorkin should have been put on trial separately for conspiracy and lies of a large jury.
0	2198036_A3	2198094_A3	Graves reported from Albuquerque, Villafranca from Austin and Ratcliffe from Laredo.	Pete Slover reported Laredo and Gromer Jeffers from Albuquerque.
1	921159_A3	921272_A3	The US chip market is expected to fall by 2.1 percent this year and 15.7 percent grow in 2004.	The Americas market will decrease by 2.1 percent to $ 30.6 billion in 2003 and grow by 15.7 percent to 35.4 billion US dollars in 2004.
1	740726_A3	739960_A3	The group is headed by the John S. Wolf State Ministry, who served in Australia, Vietnam, Greece and Pakistan.	The group is served by John S. Wolf, a deputy foreign minister who served in Australia, Vietnam, Greece and Pakistan.
0	284798_A3	284937_A3	The commission must develop the details of the plan, but the average living customer who pays 840 US dollars a year would save around $ 30 annually.	An average housing studies that pays 840 US dollars a year could save $ 30 per year.
1	1041293_A3	1041421_A3	The company has announced that it will resume its income for 2000 to 2002.	The company announced in January that it would have to repeat the profits for 2002, 2001 and maybe 2000.
1	2630545_A3	2630577_A3	Results of the US refreshment drink manufacturer Pepsico Inc.pep.n was probably in the spotlight.	Results of the US refreshing drink manufacturer Pepsico Inc. (NYSE: PEP - News - People) were probably in the spotlight.
1	1014977_A3	1014962_A3	"The result is an overall package that gives our employees considerable economic growth over the next four years."	"The result is an overall package that will offer our employees considerable economic growth in the next few years," he said.
1	3039165_A3	3039036_A3	Walmart said it would check all of his millions to ensure that they were legally busy.	It was also announced to check all domestic employees more than 1 million to ensure that they have a legal status.
1	2674986_A3	2674800_A3	The songs are offered for 99 cents or 9.99 US dollars for an album.	The company will offer songs for 99 cents and albums for 9.95 US dollars.
1	2193346_A3	2193362_A3	However, the lecture was played down by PBL, which said that only smaller purchases would concentrate that was immediately a win and the cash flow battery.	However, the conversation was played down by PBL, in which it would only focus on smaller purchases that were immediately profit and cash flow accroves.
1	149798_A3	149596_A3	The ComCast class -A stock rose by $ 30.50 in the morning trade at the Nasdaq stock market.	The share rose yesterday by $ 30 to $ 30 in the Nasdaq stock market trade.
